,name,symbol,price,marcaps,crypto_1h,crypto_24h,crypto_7d,vol_24_d,vol_24_s,circ_supply,image,link
58,Chiliz,CHZ,$0.1291,"$873,732,274",0.77%,2.59%,9.41%,"$70,283,580","547,219,222 CHZ","6,768,674,440 CHZ",https://s2.coinmarketcap.com/static/img/coins/64x64/4066.png,https://coinmarketcap.com/currencies/chiliz/
59,Neo,NEO,$12.13,"$855,799,514",0.15%,1.48%,6.16%,"$40,022,752","3,298,114 NEO","70,538,831 NEO",https://s2.coinmarketcap.com/static/img/coins/64x64/1376.png,https://coinmarketcap.com/currencies/neo/
60,KuCoin Token,KCS,$8.52,"$838,064,105",0.36%,1.78%,1.16%,"$1,275,806","149,733 KCS","98,379,861 KCS",https://s2.coinmarketcap.com/static/img/coins/64x64/2087.png,https://coinmarketcap.com/currencies/kucoin-token/
61,Curve DAO Token,CRV,$1.01,"$780,950,556",0.02%,8.43%,5.95%,"$80,067,514","79,304,567 CRV","773,589,889 CRV",https://s2.coinmarketcap.com/static/img/coins/64x64/6538.png,https://coinmarketcap.com/currencies/curve-dao-token/
62,Optimism,OP,$2.34,"$735,477,974",0.40%,6.05%,3.41%,"$143,415,639","61,388,266 OP","314,844,141 OP",https://s2.coinmarketcap.com/static/img/coins/64x64/11840.png,https://coinmarketcap.com/currencies/optimism-ethereum/
63,Terra Classic,LUNC,$0.0001244,"$732,846,786",0.23%,1.58%,0.01%,"$47,444,092","381,996,127,751 LUNC","5,893,100,591,404 LUNC",https://s2.coinmarketcap.com/static/img/coins/64x64/4172.png,https://coinmarketcap.com/currencies/terra-luna/
64,USDD,USDD,$0.9892,"$717,514,609",0.00%,0.09%,0.12%,"$21,141,210","21,375,186 USDD","725,332,036 USDD",https://s2.coinmarketcap.com/static/img/coins/64x64/19891.png,https://coinmarketcap.com/currencies/usdd/
65,Synthetix,SNX,$2.76,"$710,613,763",0.18%,6.62%,10.77%,"$70,674,339","25,632,115 SNX","257,827,443 SNX",https://s2.coinmarketcap.com/static/img/coins/64x64/2586.png,https://coinmarketcap.com/currencies/synthetix/
66,Frax Share,FXS,$9.91,"$706,230,783",0.07%,9.21%,11.09%,"$46,570,308","4,678,960 FXS","71,244,934 FXS",https://s2.coinmarketcap.com/static/img/coins/64x64/6953.png,https://coinmarketcap.com/currencies/frax-share/
67,Bitcoin SV,BSV,$36.71,"$707,343,964",0.15%,1.83%,1.91%,"$34,406,177","937,021 BSV","19,266,077 BSV",https://s2.coinmarketcap.com/static/img/coins/64x64/3602.png,https://coinmarketcap.com/currencies/bitcoin-sv/
68,Klaytn,KLAY,$0.2296,"$708,654,817",0.35%,5.10%,1.95%,"$30,971,119","135,219,677 KLAY","3,082,998,188 KLAY",https://s2.coinmarketcap.com/static/img/coins/64x64/4256.png,https://coinmarketcap.com/currencies/klaytn/
69,GMX,GMX,$81.24,"$699,266,345",3.49%,10.49%,5.10%,"$52,064,309","641,846 GMX","8,607,667 GMX",https://s2.coinmarketcap.com/static/img/coins/64x64/11857.png,https://coinmarketcap.com/currencies/gmx/
70,PancakeSwap,CAKE,$3.78,"$696,272,709",0.21%,2.05%,2.08%,"$86,099,862","22,826,921 CAKE","184,358,663 CAKE",https://s2.coinmarketcap.com/static/img/coins/64x64/7186.png,https://coinmarketcap.com/currencies/pancakeswap/
71,Maker,MKR,$695.29,"$679,726,063",0.29%,2.70%,0.78%,"$37,892,359","54,495 MKR","977,631 MKR",https://s2.coinmarketcap.com/static/img/coins/64x64/1518.png,https://coinmarketcap.com/currencies/maker/
72,Mina,MINA,$0.7726,"$679,091,601",0.65%,4.58%,0.24%,"$25,317,679","32,787,622 MINA","879,137,397 MINA",https://s2.coinmarketcap.com/static/img/coins/64x64/8646.png,https://coinmarketcap.com/currencies/mina/
